,parent,node,branch.length,label,vesicle.x,nt.x,region.x,vesicle.y,nt.y,region.y,vesicle,nt,region,label.order
348,339,348,19.5471896643221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
349,339,349,17.5326939551083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
350,336,350,8.25779745236229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
351,336,351,1.0597012996383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
352,351,352,1.28154874316356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
353,352,353,3.69508750783999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
354,352,354,2.22276486553198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
355,341,355,2.48489641110461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
356,341,356,0.716997413748974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
357,356,357,17.3145174873637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
358,353,358,10.5167100302218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
359,353,359,4.70219783912353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
360,345,360,8.19948021727581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
361,345,361,7.11006148462688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
362,350,362,10.1983401470759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
363,347,363,6.33312763038126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
364,347,364,5.61893535420175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
365,340,365,10.4550911331928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
366,340,366,3.44772126591492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
367,359,367,6.56031186504645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
368,359,368,4.19398595127745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
369,342,369,7.28682079248158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
370,342,370,6.87700881530999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
371,344,371,9.82313212147112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
372,344,372,0.693067063922749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
373,361,373,6.489837891542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
374,361,374,4.17239441423166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
375,372,375,1.56209092548691,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
376,366,376,4.00071299862505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
377,366,377,0.70224638825486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
378,364,378,5.36334946206305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
379,364,379,3.06211911839591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
380,377,380,8.23537684536519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
381,377,381,4.24776479509191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
382,363,382,1.95023308016236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
383,368,383,9.35819657915371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
384,368,384,1.34047576798685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
385,360,385,4.12477520895567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
386,346,386,3.99114855964894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
387,346,387,2.65261756623394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
388,375,388,2.1294183397076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
389,384,389,2.38530963490246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
390,384,390,0.633878117345335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
391,358,391,5.70490282677284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
392,382,392,2.22539518799651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
393,349,393,3.03948611861863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
394,349,394,1.02908915422846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
395,379,395,5.36967111951044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
396,379,396,3.76079186227823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
397,367,397,1.6265981857968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
398,388,398,6.05452462964011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
